date,title,artist,peakPos,lastPos,weeks,rank,change
6/21/18,4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,42,0,1,42,New
6/21/18,All Girls Are The Same,Juice WRLD,41,49,5,41,8
6/21/18,All Mine,Kanye West,11,11,2,31,-20
6/21/18,Alone,Halsey Featuring Big Sean & Stefflon Don,70,73,9,74,-1
6/21/18,Babe,Sugarland Featuring Taylor Swift,72,0,2,95,Re-Entry
6/21/18,Back To You,Selena Gomez,22,31,5,22,9
6/21/18,Ball For Me,Post Malone Featuring Nicki Minaj,16,63,7,59,4
6/21/18,Be Careful,Cardi B,11,25,11,23,2
6/21/18,Beautiful Crazy,Luke Combs,58,77,4,93,-16
6/21/18,Better Now,Post Malone,7,34,7,20,14
6/21/18,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",66,91,3,97,-6
6/21/18,Boo'd Up,Ella Mai,6,6,11,7,-1
6/21/18,Call Out My Name,The Weeknd,4,52,11,54,-2
6/21/18,Chun-Li,Nicki Minaj,10,46,10,43,3
6/21/18,Cudi Montage,KIDS SEE GHOSTS,69,0,1,69,New
6/21/18,Dame Tu Cosita,El Chombo Featuring Cutty Ranks,36,75,8,80,-5
6/21/18,Delicate,Taylor Swift,25,37,14,25,12
6/21/18,Done For Me,Charlie Puth Featuring Kehlani,53,61,6,55,6
6/21/18,Drip,Cardi B Featuring Migos,21,84,10,96,-12
6/21/18,Dura,Daddy Yankee,43,65,19,64,1
6/21/18,El Farsante,Ozuna & Romeo Santos,49,97,20,91,6
6/21/18,Esskeetit,Lil Pump,24,66,9,68,-2
6/21/18,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,66,71,8,66,5
6/21/18,Fake Love,BTS,10,48,4,71,-23
6/21/18,Feel The Love,KIDS SEE GHOSTS,47,0,1,47,New
6/21/18,Fire,KIDS SEE GHOSTS,67,0,1,67,New
6/21/18,Freaky Friday,Lil Dicky Featuring Chris Brown,8,39,13,37,2
6/21/18,"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,62,0,1,62,New
6/21/18,Friends,Marshmello & Anne-Marie,11,14,18,13,1
6/21/18,Get Along,Kenny Chesney,48,56,10,48,8
6/21/18,Ghost Town,Kanye West Featuring PARTYNEXTDOOR,16,16,2,60,-44
6/21/18,Girls Like You,Maroon 5 Featuring Cardi B,4,4,3,5,-1
6/21/18,God's Plan,Drake,1,5,21,4,1
6/21/18,Havana,Camila Cabello Featuring Young Thug,1,33,44,27,6
6/21/18,Heaven,Kane Brown,15,30,25,26,4
6/21/18,I Know You,Lil Skies Featuring Yung Pinch,90,0,1,90,New
6/21/18,I Like It,"Cardi B, Bad Bunny & J Balvin",3,3,10,3,0
6/21/18,I Like Me Better,Lauv,46,53,18,46,7
6/21/18,I Lived It,Blake Shelton,64,76,15,76,0
6/21/18,I Was Jack (You Were Diane),Jake Owen,86,86,3,86,0
6/21/18,I'm Upset,Drake,19,32,3,28,4
6/21/18,IDGAF,Dua Lipa,49,54,22,51,3
6/21/18,In My Blood,Shawn Mendes,11,20,13,16,4
6/21/18,Japan,Famous Dex,28,68,12,72,-4
6/21/18,KIDS SEE GHOSTS,KIDS SEE GHOSTS,73,0,1,73,New
6/21/18,KOD,J. Cole,10,60,8,65,-5
6/21/18,Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,74,92,4,89,3
6/21/18,Look Alive,BlocBoy JB Featuring Drake,5,19,18,18,1
6/21/18,Lose It,Kane Brown,84,0,1,84,New
6/21/18,Love Lies,Khalid & Normani,34,42,17,34,8
6/21/18,Lovely,Billie Eilish & Khalid,78,79,3,78,1
6/21/18,Lucid Dreams,Juice WRLD,6,9,5,6,3
6/21/18,Me Niego,Reik Featuring Ozuna & Wisin,77,0,2,83,Re-Entry
6/21/18,Meant To Be,Bebe Rexha & Florida Georgia Line,2,12,34,10,2
6/21/18,Mercy,Brett Young,63,74,6,63,11
6/21/18,Mine,Bazzi,11,23,21,15,8
6/21/18,Never Be The Same,Camila Cabello,6,18,26,19,-1
6/21/18,New Rules,Dua Lipa,6,40,46,35,5
6/21/18,Nice For What,Drake,1,2,10,1,1
6/21/18,No Tears Left To Cry,Ariana Grande,3,13,8,9,4
6/21/18,One Kiss,Calvin Harris & Dua Lipa,30,38,10,30,8
6/21/18,One Number Away,Luke Combs,34,45,13,45,0
6/21/18,OTW,"Khalid, Ty Dolla $ign & 6LACK",57,80,8,81,-1
6/21/18,Overdose,YoungBoy Never Broke Again,42,72,7,77,-5
6/21/18,Perfect,Ed Sheeran,1,21,42,17,4
6/21/18,Plug Walk,Rich The Kid,13,35,18,33,2
6/21/18,Powerglide,Rae Sremmurd & Juicy J,28,67,15,75,-8
6/21/18,Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,45,70,3,70,0
6/21/18,Pray For Me,The Weeknd & Kendrick Lamar,7,44,19,44,0
6/21/18,Psycho,Post Malone Featuring Ty Dolla $ign,1,1,16,2,-1
6/21/18,Reborn,KIDS SEE GHOSTS,39,0,1,39,Hot Shot Debut
6/21/18,Rich Sex,Nicki Minaj Featuring Lil Wayne,88,0,1,88,New
6/21/18,Rockstar,Post Malone Featuring 21 Savage,1,29,39,24,5
6/21/18,Sad!,XXXTENTACION,7,51,15,52,-1
6/21/18,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,74,83,14,87,-4
6/21/18,Simple,Florida Georgia Line,55,55,2,57,-2
6/21/18,Sin Pijama,Becky G + Natti Natasha,94,99,2,94,5
6/21/18,Singles You Up,Jordan Davis,50,95,19,98,-3
6/21/18,Sit Next To Me,Foster The People,56,64,13,56,8
6/21/18,Take Back Home Girl,Chris Lane Featuring Tori Kelly,92,100,3,99,1
6/21/18,Taste,Tyga Featuring Offset,38,59,3,38,21
6/21/18,TATI,6ix9ine Featuring DJ SPINKING,46,47,3,50,-3
6/21/18,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",36,43,8,36,7
6/21/18,Tequila,Dan + Shay,32,41,14,32,9
6/21/18,The Middle,"Zedd, Maren Morris & Grey",5,10,20,8,2
6/21/18,This Is America,Childish Gambino,1,7,6,12,-5
6/21/18,Up Down,Morgan Wallen Featuring Florida Georgia Line,49,58,12,49,9
6/21/18,Violent Crimes,Kanye West,27,27,2,85,-58
6/21/18,Wait,Maroon 5,24,26,22,29,-3
6/21/18,Walk It Talk It,Migos Featuring Drake,10,17,20,14,3
6/21/18,Welcome To The Party,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",78,78,3,100,-22
6/21/18,Whatever It Takes,Imagine Dragons,12,22,20,21,1
6/21/18,"Woman, Amen",Dierks Bentley,53,69,10,53,16
6/21/18,Wouldn't Leave,Kanye West Featuring PARTYNEXTDOOR,24,24,2,92,-68
6/21/18,X,Nicky Jam x J Balvin,41,57,15,58,-1
6/21/18,Yes Indeed,Lil Baby & Drake,6,15,5,11,4
6/21/18,Yikes,Kanye West,8,8,2,40,-32
6/21/18,You Make It Easy,Jason Aldean,28,62,20,61,1
6/21/18,Youngblood,5 Seconds Of Summer,79,96,2,79,17
6/21/18,Zombie,Bad Wolves,54,82,14,82,0
6/16/18,Africa,Weezer,89,0,1,89,New
6/16/18,Finesse,Bruno Mars & Cardi B,3,39,23,50,-11
6/16/18,Humility,Gorillaz Featuring George Benson,85,0,1,85,New
6/16/18,I Thought About Killing You,Kanye West,28,0,1,28,New
6/16/18,Lust,Lil Skies,87,87,4,93,-6
6/16/18,Must've Never Met You,Luke Combs,81,0,1,81,New
6/16/18,New Freezer,Rich The Kid Featuring Kendrick Lamar,41,90,19,98,-8
6/16/18,No Mistakes,Kanye West,36,0,1,36,New
6/16/18,Paranoid,Post Malone,11,83,6,94,-11
6/16/18,Rich & Sad,Post Malone,14,79,6,88,-9
6/16/18,Shoota,Playboi Carti Featuring Lil Uzi Vert,46,88,4,90,-2
6/16/18,Watch,Travis Scott Featuring Lil Uzi Vert & Kanye West,16,84,5,87,-3
6/9/18,A$AP Forever,A$AP Rocky Featuring Moby,63,0,2,63,Re-Entry
6/9/18,All The Stars,Kendrick Lamar & SZA,7,33,21,41,-8
6/9/18,Dinero,Jennifer Lopez Featuring DJ Khaled & Cardi B,80,0,1,80,New
6/9/18,Everyday,Logic & Marshmello,29,91,13,95,-4
6/9/18,For The First Time,Darius Rucker,58,58,10,81,-23
6/9/18,High Hopes,Panic! At The Disco,98,0,1,98,New
6/9/18,If You Know You Know,Pusha T,73,0,1,73,New
6/9/18,Infrared,Pusha T,65,0,1,65,New
6/9/18,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",21,61,20,68,-7
6/9/18,Moonlight,XXXTENTACION,35,94,9,99,-5
6/9/18,Most People Are Good,Luke Bryan,43,81,18,92,-11
6/9/18,Ric Flair Drip,Offset & Metro Boomin,13,45,31,44,1
6/9/18,Spoil My Night,Post Malone Featuring Swae Lee,15,77,5,97,-20
6/9/18,The Games We Play,Pusha T,100,0,1,100,New
6/9/18,What Would Meek Do?,Pusha T Featuring Kanye West,75,0,1,75,New
6/9/18,Youth,Shawn Mendes Featuring Khalid,65,0,2,76,Re-Entry
6/2/18,ATM,J. Cole,6,63,5,89,-26
6/2/18,Champion,NAV Featuring Travis Scott,86,0,1,86,New
6/2/18,Change Lanes,Kevin Gates,68,0,1,68,New
6/2/18,Don't Go Breaking My Heart,Backstreet Boys,99,0,1,99,New
6/2/18,Downtown's Dead,Sam Hunt,98,0,1,98,New
6/2/18,Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,79,79,3,96,-17
6/2/18,Kevin's Heart,J. Cole,8,68,5,92,-24
6/2/18,Let It Sing,Kevin Gates,82,0,1,82,New
6/2/18,Like That,Kris Wu,73,0,1,73,New
6/2/18,No Excuses,Meghan Trainor,46,67,12,93,-26
6/2/18,Outside Today,YoungBoy Never Broke Again,31,80,19,97,-17
6/2/18,Red Roses,Lil Skies Featuring Landon Cube,69,87,20,87,0
6/2/18,Sangria Wine,Pharrell Williams x Camila Cabello,83,0,1,83,New
6/2/18,Southside,Lil Baby,79,0,1,79,New
6/2/18,Stay,Post Malone,17,65,4,88,-23
5/26/18,92 Explorer,Post Malone,40,69,3,98,-29
5/26/18,Cry Pretty,Carrie Underwood,48,0,3,95,Re-Entry
5/26/18,Over Now,Post Malone,24,64,3,89,-25
5/26/18,Same Bitches,Post Malone Featuring G-Eazy & YG,20,66,3,93,-27
5/26/18,Say Something,Justin Timberlake Featuring Chris Stapleton,9,88,16,100,-12
5/26/18,Stir Fry,Migos,8,50,21,44,6
5/26/18,Takin' Shots,Post Malone,29,67,3,97,-30
5/26/18,When We,Tank,78,100,20,94,6
5/26/18,Zack And Codeine,Post Malone,23,63,3,90,-27
5/19/18,Barbie Tingz,Nicki Minaj,25,0,4,84,Re-Entry
5/19/18,Bartier Cardi,Cardi B Featuring 21 Savage,14,75,20,81,-6
5/19/18,Blame It On Me,Post Malone,47,47,2,93,-46
5/19/18,Diamond Teeth Samurai,YoungBoy Never Broke Again,59,95,5,94,1
5/19/18,Famous,Mason Ramsey,62,62,2,95,-33
5/19/18,I Do,Cardi B Featuring SZA,23,89,5,96,-7
5/19/18,Otherside,Post Malone,46,46,2,89,-43
5/19/18,Preach,YoungBoy Never Broke Again,98,0,1,98,New
5/12/18,1985 (Intro To The Fall Off),J. Cole,20,20,2,79,-59
5/12/18,Candy Paint,Post Malone,34,0,21,34,Re-Entry
5/12/18,Changes,XXXTENTACION,37,83,9,96,-13
5/12/18,Jonestown (Interlude),Post Malone,73,0,1,73,New
5/12/18,Motiv8,J. Cole,15,15,2,71,-56
5/12/18,Photograph,J. Cole,14,14,2,80,-66
5/12/18,Ring,Cardi B Featuring Kehlani,28,71,4,86,-15
5/12/18,Sugar Wraith,Post Malone,57,0,1,57,New
5/12/18,Ye vs The People,Kanye West Featuring T.I.,85,0,1,85,New
5/5/18,Best Life,Cardi B Featuring Chance The Rapper,39,67,3,100,-33
5/5/18,Brackets,J. Cole,30,0,1,30,New
5/5/18,Close,Rae Sremmurd & Travis Scott,98,0,1,98,New
5/5/18,Feel It Still,Portugal. The Man,4,39,45,50,-11
5/5/18,Friends,J. Cole Featuring kiLL edward,46,0,1,46,New
5/5/18,Intro,J. Cole,53,0,1,53,New
5/5/18,Let You Down,NF,12,37,28,49,-12
5/5/18,Once An Addict (Interlude),J. Cole,47,0,1,47,New
5/5/18,The Cut Off,J. Cole Featuring kiLL edward,28,0,1,28,New
5/5/18,The Long Way,Brett Eldredge,65,65,12,85,-20
5/5/18,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,83,14,91,-8
5/5/18,Thru Your Phone,Cardi B,50,75,3,99,-24
5/5/18,Thunder,Imagine Dragons,4,34,52,45,-11
5/5/18,Wake Me Up!,Avicii,4,0,54,34,Re-Entry
5/5/18,Window Pain (Outro),J. Cole,41,0,1,41,New
4/28/18,Anybody,Young Thug Featuring Nicki Minaj,89,0,1,89,New
4/28/18,Bad At Love,Halsey,5,48,33,50,-2
4/28/18,Bickenhead,Cardi B,43,43,2,68,-25
4/28/18,Billy,6ix9ine,50,68,8,91,-23
4/28/18,Broken Clocks,SZA,82,97,4,97,0
4/28/18,Five More Minutes,Scotty McCreery,44,89,20,98,-9
4/28/18,Get Up 10,Cardi B,38,38,2,77,-39
4/28/18,Get You,Daniel Caesar Featuring Kali Uchis,93,0,6,96,Re-Entry
4/28/18,Gotti,6ix9ine,99,0,1,99,New
4/28/18,Guatemala,Swae Lee Featuring Slim Jxmmi,84,0,1,84,New
4/28/18,Hardaway,Derez De'Shon,61,84,11,100,-16
4/28/18,Him & I,G-Eazy & Halsey,14,44,20,47,-3
4/28/18,I Fall Apart,Post Malone,16,46,30,46,0
4/28/18,Let Me,Zayn,73,0,1,73,New
4/28/18,Lights Down Low,MAX Featuring gnash,20,45,28,45,0
4/28/18,Marry Me,Thomas Rhett,30,55,20,56,-1
4/28/18,Money Bag,Cardi B,58,58,2,87,-29
4/28/18,She Bad,Cardi B & YG,57,57,2,90,-33
4/28/18,She's With Me,High Valley,79,87,8,95,-8
4/28/18,Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,90,7,94,-4
4/28/18,Wasted Times,The Weeknd,27,63,3,76,-13
4/21/18,All On Me,Devin Dawson,52,75,20,93,-18
4/21/18,Broken Halos,Chris Stapleton,45,64,20,82,-18
4/21/18,Medicine,Queen Naija,45,45,2,86,-41
4/21/18,No Roots,Alice Merton,84,84,3,96,-12
4/21/18,Proud,2 Chainz Featuring YG & Offset,96,96,2,99,-3
4/21/18,Tell Me You Love Me,Demi Lovato,53,62,20,69,-7
4/21/18,Try Me,The Weeknd,26,26,2,74,-48
4/14/18,Beautiful Trauma,P!nk,78,88,15,97,-9
4/14/18,Echame La Culpa,Luis Fonsi & Demi Lovato,47,90,20,91,-1
4/14/18,Focus,H.E.R.,100,0,1,100,New
4/14/18,Hurt You,The Weeknd Featuring Gesaffelstein,43,0,1,43,New
4/14/18,I Was Never There,The Weeknd Featuring Gesaffelstein,35,0,1,35,New
4/14/18,La Modelo,Ozuna x Cardi B,52,94,14,95,-1
4/14/18,Lemon,N*E*R*D & Rihanna,36,36,22,48,-12
4/14/18,NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,63,75,4,98,-23
4/14/18,No Smoke,YoungBoy Never Broke Again,61,79,18,87,-8
4/14/18,Nowadays,Lil Skies Featuring Landon Cube,55,84,13,85,-1
4/14/18,OKRA,"Tyler, The Creator",89,0,1,89,New
4/14/18,Privilege,The Weeknd,52,0,1,52,New
4/14/18,Say Amen (Saturday Night),Panic! At The Disco,60,60,2,86,-26
4/14/18,Tempo,Chris Brown,88,92,4,88,4
4/14/18,Written In The Sand,Old Dominion,51,91,20,93,-2
4/7/18,44 More,Logic,22,70,5,85,-15
4/7/18,Betrayed,Lil Xan,64,76,20,77,-1
4/7/18,Booty,Blac Youngsta,73,89,5,93,-4
4/7/18,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,99,7,98,1
4/7/18,Gummo,6ix9ine,12,63,20,56,7
4/7/18,Lost In Japan,Shawn Mendes,64,0,1,64,New
4/7/18,Love.,Kendrick Lamar Featuring Zacari,11,42,40,43,-1
4/7/18,MotorSport,"Migos, Nicki Minaj & Cardi B",6,43,22,45,-2
4/7/18,Narcos,Migos,36,88,9,89,-1
4/7/18,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,44,29,41,3
4/7/18,Pick It Up,Famous Dex Featuring A$AP Rocky,54,71,20,71,0
4/7/18,Rubbin Off The Paint,YBN Nahmir,46,0,17,96,Re-Entry
4/7/18,The Remedy For A Broke Heart (Why Am I So In Love),XXXTENTACION,67,67,2,97,-30
4/7/18,Wolves,Selena Gomez X Marshmello,20,41,23,44,-3
3/31/18,At The Club,Jacquees X Dej Loaf,86,94,7,96,-2
3/31/18,Everybody Hates Me,The Chainsmokers,100,0,1,100,New
3/31/18,Found / Tonight,Lin-Manuel Miranda & Ben Platt,49,0,1,49,New
3/31/18,Going Down!,XXXTENTACION,95,0,1,95,New
3/31/18,How Long,Charlie Puth,21,38,24,48,-10
3/31/18,Infinity (888),XXXTENTACION Featuring Joey Bada$$,83,0,1,83,New
3/31/18,Numb,XXXTENTACION,82,0,1,82,New
3/31/18,Sky Walker,Miguel Featuring Travis Scott,29,44,26,50,-6
3/31/18,Young Dumb & Broke,Khalid,18,42,36,46,-4
3/24/18,66,Lil Yachty Featuring Trippie Redd,73,0,1,73,New
3/24/18,Boom!,Lil Yachty Featuring Ugly God,88,0,1,88,New
3/24/18,BoomTrap Protocol,Logic,97,0,1,97,New
3/24/18,Contra,Logic,60,0,1,60,New
3/24/18,Indica Badu,Logic Featuring Wiz Khalifa,56,0,1,56,New
3/24/18,Midnight,Logic,74,0,1,74,New
3/24/18,Overnight,Logic,68,0,1,68,New
3/24/18,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,45,25,47,-2
3/24/18,River,Eminem Featuring Ed Sheeran,11,61,13,85,-24
3/24/18,Sorry Not Sorry,Demi Lovato,6,49,36,48,1
3/24/18,Warm It Up,Logic Featuring Young Sinatra,98,0,1,98,New
3/24/18,Wassup,Logic Featuring Big Sean,83,0,1,83,New
3/24/18,X,"ScHoolboy Q, 2 Chainz & Saudi",49,89,5,93,-4
3/24/18,Yuck,Logic,87,0,1,87,New
3/17/18,Corazon,Maluma X Nego do Borel,87,93,9,97,-4
3/17/18,Good Old Days,Macklemore Featuring Kesha,48,48,20,50,-2
3/17/18,Keke,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,63,8,90,-27
3/17/18,Paramedic!,SOB X RBE,65,76,4,92,-16
3/17/18,Stranger Things,Joyner Lucas & Chris Brown,91,0,1,91,New
3/17/18,The Champion,Carrie Underwood Featuring Ludacris,47,0,3,70,Re-Entry
3/10/18,Bodak Yellow (Money Moves),Cardi B,1,33,35,40,-7
3/10/18,Break Up In The End,Cole Swindell,98,0,1,98,New
3/10/18,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,89,14,95,-6
3/10/18,Kooda,6ix9ine,50,0,9,89,Re-Entry
3/10/18,Make Me Feel,Janelle Monae,99,0,1,99,New
3/10/18,Mayores,Becky G Featuring Bad Bunny,74,100,18,97,3
3/10/18,Notice Me,Migos Featuring Post Malone,52,88,5,92,-4
3/10/18,Rock,Plies,95,95,5,100,-5
3/10/18,Rondo,6ix9ine Featuring Tory Lanez & Young Thug,73,0,1,73,New
3/10/18,The Ways,Khalid & Swae Lee,63,68,3,90,-22
3/10/18,Want You Back,5 Seconds Of Summer,61,0,1,61,New
3/10/18,You Broke Up With Me,Walker Hayes,62,64,19,74,-10
3/10/18,Yours,Russell Dickerson,49,67,20,72,-5
3/3/18,Big Shot,Kendrick Lamar & Travis Scott,71,71,2,83,-12
3/3/18,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,65,14,91,-26
3/3/18,Female,Keith Urban,69,0,6,99,Re-Entry
3/3/18,For You (Fifty Shades Freed),Liam Payne & Rita Ora,76,76,3,92,-16
3/3/18,Gucci Gang,Lil Pump,3,42,24,47,-5
3/3/18,I Get The Bag,Gucci Mane Featuring Migos,11,44,27,49,-5
3/3/18,Legends,Kelsea Ballerini,68,68,12,87,-19
3/3/18,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,48,22,50,-2
3/3/18,One Foot,WALK THE MOON,65,87,8,98,-11
3/3/18,Shape Of You,Ed Sheeran,1,24,59,24,0
3/3/18,Too Good At Goodbyes,Sam Smith,4,39,24,45,-6
2/24/18,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,40,42,45,-5
2/24/18,Black Panther,Kendrick Lamar,91,0,1,91,New
2/24/18,Criminal,Natti Natasha x Ozuna,95,95,3,98,-3
2/24/18,Filthy,Justin Timberlake,9,34,6,90,-56
2/24/18,Rewrite The Stars,Zac Efron & Zendaya,70,85,7,100,-15
2/24/18,Roll In Peace,Kodak Black Featuring XXXTENTACION,31,47,26,50,-3
2/17/18,A Girl Like You,Easton Corbin,98,0,1,98,New
2/17/18,BBO (Bad Bitches Only),Migos Featuring 21 Savage,48,48,2,89,-41
2/17/18,Diplomatic Immunity,Drake,7,55,3,83,-28
2/17/18,Like I Loved You,Brett Young,46,70,20,66,4
2/17/18,Losing Sleep,Chris Young,60,60,20,71,-11
2/17/18,Man Of The Woods,Justin Timberlake,73,0,1,73,New
2/17/18,Sick Boy,The Chainsmokers,65,90,3,97,-7
2/17/18,Supplies,Justin Timberlake,71,0,2,100,Re-Entry
2/10/18,Auto Pilot,Migos,85,0,1,85,New
2/10/18,Believer,Imagine Dragons,4,28,52,29,-1
2/10/18,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",81,89,5,97,-8
2/10/18,CC,Migos Featuring Gucci Mane,96,0,1,96,New
2/10/18,Emoji A Chain,Migos,87,0,1,87,New
2/10/18,Gang Gang,Migos,73,0,1,73,New
2/10/18,Higher We Go (Intro),Migos,83,0,1,83,New
2/10/18,MIC Drop,BTS Featuring Desiigner,28,84,10,98,-14
2/10/18,Round Here Buzz,Eric Church,56,80,19,89,-9
2/10/18,Supastars,Migos,53,0,1,53,New
2/10/18,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,42,23,49,-7
2/10/18,White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",64,0,1,64,New
2/3/18,Attention,Charlie Puth,5,44,40,48,-4
2/3/18,Bank Account,21 Savage,12,38,29,47,-9
2/3/18,Greatest Love Story,LANCO,45,65,21,59,6
2/3/18,I'll Name The Dogs,Blake Shelton,56,82,20,98,-16
2/3/18,Ice Tray,Quavo & Lil Yachty,74,86,6,90,-4
2/3/18,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,39,30,44,-5
2/3/18,My Dawg,Lil Baby,71,90,7,97,-7
2/3/18,Never Enough,Loren Allred,88,97,4,96,1
2/3/18,No Name,NF,82,0,1,82,New
2/3/18,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,51,20,53,-2
2/3/18,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",88,89,4,95,-6
2/3/18,Unforgettable,French Montana Featuring Swae Lee,3,48,42,50,-2
2/3/18,What Lovers Do,Maroon 5 Featuring SZA,9,31,22,41,-10
1/27/18,...Ready For It?,Taylor Swift,4,80,20,96,-16
1/27/18,El Bano,Enrique Iglesias Featuring Bad Bunny,98,0,1,98,New
1/27/18,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",75,89,6,95,-6
1/27/18,My My My!,Troye Sivan,80,0,1,80,New
1/27/18,Silence,Marshmello Featuring Khalid,30,46,23,50,-4
1/27/18,The Weekend,SZA,29,42,25,46,-4
1/20/18,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,25,52,34,-9
1/20/18,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",90,99,5,97,2
1/20/18,I Could Use A Love Song,Maren Morris,56,62,21,56,6
1/20/18,I Miss You,Clean Bandit Featuring Julia Michaels,92,0,1,92,New
1/20/18,Juice,Yo Gotti,90,90,6,100,-10
1/20/18,That's What I Like,Bruno Mars,1,32,52,38,-6
1/20/18,Too Much To Ask,Niall Horan,66,86,12,93,-7
1/13/18,Dusk Till Dawn,Zayn Featuring Sia,44,99,17,94,5
1/13/18,F**k Love,XXXTENTACION Featuring Trippie Redd,41,96,19,98,-2
1/13/18,Light It Up,Luke Bryan,57,73,19,69,4
1/13/18,Look What You Made Me Do,Taylor Swift,1,66,20,55,11
1/13/18,Wanted You,NAV Featuring Lil Uzi Vert,64,0,7,97,Re-Entry
1/13/18,What About Us,P!nk,13,48,22,43,5
1/6/18,A Holly Jolly Christmas,Burl Ives,38,38,5,46,-8
1/6/18,All I Want For Christmas Is You,Mariah Carey,9,9,24,13,-4
1/6/18,Black & Chinese,Huncho Jack,71,0,1,71,New
1/6/18,Dubai Shit,Huncho Jack Featuring Offset,83,0,1,83,New
1/6/18,Eye 2 Eye,Huncho Jack Featuring Takeoff,65,0,1,65,New
1/6/18,Huncho Jack,Huncho Jack,87,0,1,87,New
1/6/18,It's The Most Wonderful Time Of The Year,Andy Williams,32,32,5,38,-6
1/6/18,Modern Slavery,Huncho Jack,68,0,1,68,New
1/6/18,Motorcycle Patches,Huncho Jack,90,0,1,90,New
1/6/18,Rockin' Around The Christmas Tree,Brenda Lee,14,30,22,36,-6
1/6/18,Saint,Huncho Jack,92,0,1,92,New
1/6/18,The Christmas Song (Merry Christmas To You),Nat King Cole,37,37,12,42,-5
1/6/18,The Race,Tay-K,44,68,20,64,4
1/6/18,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,69,0,1,69,New
1/6/18,Walk On Water,Eminem Featuring Beyonce,14,87,5,93,-6
12/30/17,Danger,Migos & Marshmello,82,0,1,82,New
12/30/17,Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,94,96,4,100,-4
12/30/17,Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",35,81,7,90,-9
12/30/17,Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,67,0,1,67,New
12/30/17,Humble.,Kendrick Lamar,1,50,37,47,3
12/30/17,Jocelyn Flores,XXXTENTACION,31,87,16,98,-11
12/30/17,Last Christmas,Wham!,41,0,3,44,Re-Entry
12/30/17,Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,80,0,2,80,Re-Entry
12/30/17,There's Nothing Holdin' Me Back,Shawn Mendes,6,46,34,48,-2
12/30/17,Unforgettable,Thomas Rhett,47,69,20,71,-2
12/30/17,Untouchable,Eminem,86,0,1,86,New
12/30/17,When It Rains It Pours,Luke Combs,33,65,20,68,-3
12/23/17,Ask Me How I Know,Garth Brooks,71,71,7,94,-23
12/23/17,Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,95,0,1,95,New
12/23/17,Congratulations,Post Malone Featuring Quavo,8,45,50,49,-4
12/23/17,Love So Soft,Kelly Clarkson,47,70,13,79,-9
12/23/17,Sauce It Up,Lil Uzi Vert,49,96,15,100,-4
12/23/17,Transportin',Kodak Black,46,87,16,92,-5
12/16/17,Do Re Mi,Blackbear,40,41,25,44,-3
12/16/17,Fix A Drink,Chris Janson,67,78,14,90,-12
12/16/17,Go Flex,Post Malone,76,91,11,95,-4
12/16/17,It's Everyday Bro,Jake Paul Featuring Team 10,91,0,2,91,Re-Entry
12/16/17,Perro Fiel,Shakira Featuring Nicky Jam,100,0,1,100,New
12/16/17,Praying,Kesha,22,26,21,35,-9
